Tempo,Acc_Y,Vel_Y,Dist_Y
2.074052572250366,0.0,0.01,0.02
2.091131687164306,0.01,0.23,12.72
2.107680082321167,-0.01,-0.82,-58.33
2.127715587615967,-0.01,0.08,53.48
2.144109010696411,-0.02,-0.96,-54.85
2.161125659942627,-0.01,0.79,102.73
2.177206516265869,-0.0,0.48,-17.21
2.197674512863159,-0.0,-0.06,-31.48
2.2138919830322266,-0.01,-0.35,-16.08
2.230828762054444,-0.01,0.16,28.08
2.25067138671875,-0.0,0.17,0.55
2.2676947116851807,-0.0,0.19,0.96
2.2835495471954346,-0.0,-0.06,-14.27
2.304282188415528,0.01,0.85,50.42
2.3206889629364014,0.02,0.35,-28.08
2.3367369174957275,0.02,-0.17,-30.28
2.357269048690796,-0.0,-1.04,-48.25
2.37376070022583,0.0,0.23,74.28
2.390075206756592,0.01,0.56,18.52
2.4104957580566406,0.0,-0.64,-66.51
2.427131414413452,-0.0,-0.14,29.27
2.443277597427368,-0.0,-0.21,-4.0
2.460048198699951,-0.01,-0.08,7.39
2.4800829887390137,0.0,0.59,36.95
2.496760845184326,-0.0,-0.31,-52.65
2.5133838653564453,0.01,0.9,71.25
2.533447742462158,-0.0,-0.88,-98.85
2.5499727725982666,-0.03,-1.58,-41.15
2.5661134719848637,-0.01,0.71,120.16
2.585581064224243,-0.01,0.39,-18.31
2.603326797485352,0.0,0.73,19.88
2.620303153991699,0.01,0.27,-25.91
2.636323928833008,0.01,-0.11,-20.69
2.6561355590820312,0.01,0.35,25.12
2.673229217529297,-0.0,-0.82,-68.39
2.689237117767334,0.01,0.35,64.59
2.7095043659210205,0.01,0.39,2.85
2.7260756492614746,-0.0,-0.88,-70.68
2.7424237728118896,-0.01,-0.29,32.51
2.762077569961548,0.0,0.68,56.98
2.778613805770874,-0.0,-0.16,-46.42
2.7957351207733154,-0.0,-0.0,9.39
2.815951108932495,-0.0,-0.13,-7.39
2.8325138092041016,0.0,0.4,29.56
2.849361658096313,-0.0,-0.45,-49.98
2.8652503490448,-0.0,0.03,26.52
2.885347843170166,-0.01,-0.51,-31.39
2.90237045288086,-0.0,0.59,60.68
2.918587446212769,-0.03,-1.44,-112.32
2.939310312271118,-0.01,0.76,129.24
2.955305576324463,-0.01,0.24,-28.95
2.97212553024292,-0.01,0.21,-1.48
2.992408037185669,-0.01,-0.03,-13.3
3.0084450244903564,0.0,0.56,34.7
3.025318384170532,0.01,0.08,-28.17
3.044488906860352,-0.01,-0.64,-40.16
3.0621137619018555,-0.01,-0.32,17.73
3.0781588554382324,0.02,1.52,101.98
3.095577955245972,-0.0,-0.96,-145.53
3.114584922790528,-0.0,0.0,56.33
3.131842374801636,-0.0,-0.08,-3.98
3.148427963256836,-0.0,0.0,4.45
3.168217182159424,-0.0,0.03,1.48
3.185087203979492,-0.0,-0.14,-9.85
3.201600313186645,0.0,0.42,33.14
3.221778154373169,0.01,0.35,-4.26
3.2379674911499023,-0.02,-1.38,-96.06
3.2555863857269287,-0.01,0.4,99.02
3.2711257934570312,0.01,1.18,46.12
3.2909741401672363,-0.0,-0.82,-111.54
3.307703971862793,-0.01,-0.62,12.06
3.3244082927703857,0.01,1.3,106.84
3.3446741104125977,0.0,-0.29,-88.67
3.3611927032470703,-0.0,-0.39,-5.98
3.3779103755950928,0.0,0.4,44.08
3.398075580596924,-0.01,-0.61,-56.16
3.4140496253967285,0.0,0.54,67.47
3.4310288429260254,-0.01,-0.64,-65.2
3.4512925148010254,0.0,0.76,82.29
3.467490673065185,0.01,0.19,-31.91
3.483813524246216,0.01,0.37,10.35
3.503931999206543,0.01,-0.03,-22.17
3.52025842666626,0.0,-0.73,-41.51
3.5374791622161865,-0.0,-0.17,33.14
3.553835153579712,0.01,0.4,30.12
3.5739262104034424,0.01,0.2,-12.12
3.590021133422852,-0.01,-0.9,-61.2
3.606823444366455,-0.01,0.0,53.2
3.627077341079712,-0.0,0.31,18.23
3.643530607223511,0.01,0.53,11.55
3.660401105880737,-0.0,-0.51,-60.96
3.676817417144776,-0.0,-0.03,26.69
3.697177648544312,-0.01,-0.59,-33.23
3.713428735733032,-0.01,0.11,41.42
3.730026483535767,0.0,0.48,19.27
3.7503368854522714,0.01,0.48,-0.0
3.76656985282898,0.01,0.19,-16.26
3.782634973526001,0.02,0.48,17.21
3.80275297164917,0.01,-0.43,-50.25
3.8196959495544434,-0.0,-0.85,-23.65
3.836538076400757,0.01,0.65,88.18
3.8520798683166495,0.01,0.35,-16.78
3.872923612594605,0.0,-0.73,-63.42
3.889655590057373,-0.01,-0.85,-6.61
3.905720472335816,0.0,1.01,103.45
3.926097869873047,0.01,0.2,-47.87
3.942879676818848,-0.02,-1.3,-83.37
3.959371566772461,0.0,1.15,144.61
3.979447603225708,0.0,-0.16,-73.03
3.995726346969605,0.0,0.03,10.35
4.012187719345093,-0.01,-0.7,-42.99
4.032827854156494,-0.0,0.37,59.81
4.049439430236816,-0.0,-0.06,-25.22
4.065581560134888,0.02,1.08,60.0
4.08486795425415,-0.01,-1.58,-156.53
4.101992130279541,-0.0,0.45,112.76
4.119132995605469,0.01,0.59,7.39
4.138512372970581,0.0,-0.39,-57.62
4.155324697494507,-0.01,-0.45,-3.22
4.172407627105713,-0.01,-0.37,5.06
4.188680171966553,0.01,1.2,86.85
4.208773612976074,0.01,0.05,-63.55
4.224782466888428,0.01,-0.23,-16.38
4.241667985916138,0.02,0.56,43.55
4.262425422668457,-0.0,-1.1,-97.48
4.278252124786377,0.0,0.19,71.37
