Tempo,Acc_Y,Vel_Y,Dist_Y
2.118886232376098,-0.01,-0.02,-0.06
2.1808133125305176,-0.0,0.12,2.28
2.242223024368286,-0.0,0.01,-1.78
2.306899309158325,0.0,0.08,1.06
2.368680477142334,-0.0,-0.07,-2.35
2.42987060546875,0.02,0.38,7.34
2.4959278106689453,-0.01,-0.47,-13.55
2.556957960128784,-0.0,0.08,8.85
2.6194872856140137,-0.02,-0.22,-4.69
2.6844043731689453,0.01,0.39,9.85
2.7461459636688232,0.0,-0.05,-6.98
2.8074419498443604,-0.0,-0.07,-0.33
2.869269132614136,0.0,0.03,1.66
2.934114694595337,0.0,0.01,-0.4
2.995733976364136,-0.0,-0.1,-1.81
3.0575413703918457,0.01,0.21,5.02
3.122718095779419,-0.0,-0.18,-6.08
3.184164762496948,0.0,0.06,3.78
3.2465381622314453,0.01,0.14,1.31
3.3110244274139404,-0.0,-0.18,-5.1
3.3725242614746094,0.01,0.21,6.27
3.4339640140533447,0.0,-0.17,-6.08
3.49546480178833,0.0,0.04,3.54
3.5608341693878174,-0.0,-0.05,-1.55
3.6229076385498047,0.0,0.08,2.14
3.684406042098999,0.0,-0.05,-2.05
3.7485666275024414,-0.0,-0.05,0.02
3.8105874061584473,-0.01,-0.07,-0.35
3.8726015090942383,0.0,0.12,3.03
3.93769645690918,0.01,0.08,-0.6
3.999000787734986,0.0,-0.05,-2.07
4.061033487319946,-0.01,-0.17,-2.04
4.122730255126953,-0.0,0.06,3.8
4.187641620635986,0.01,0.18,1.89
4.249171733856201,0.01,0.09,-1.52
4.311057567596436,-0.0,-0.25,-5.33
4.376173496246338,-0.0,-0.03,3.35
4.4376325607299805,-0.01,-0.05,-0.29
4.4992101192474365,0.0,0.1,2.42
4.561057329177856,0.0,0.08,-0.41
4.625930070877075,0.0,-0.05,-1.98
4.688104152679443,-0.01,-0.12,-1.16
4.749484062194824,0.0,0.17,4.52
4.814466953277588,-0.01,-0.2,-5.94
4.875869274139404,0.01,0.25,7.0
4.937500953674316,-0.0,-0.14,-6.29
5.003190517425537,0.0,0.05,3.14
5.063915252685547,-0.0,-0.07,-1.92
5.125563144683838,-0.0,-0.01,0.93
5.187426328659058,-0.01,-0.17,-2.62
5.252245664596558,0.01,0.31,7.87
5.314208984375,0.01,0.03,-4.39
5.376043319702148,0.0,-0.08,-1.82
5.441142320632935,-0.01,-0.19,-1.73
5.503014087677002,0.01,0.26,7.18
5.5647382736206055,0.01,-0.0,-4.14
5.629268169403076,-0.0,-0.13,-1.99
5.691094160079956,0.0,0.07,3.04
5.752962827682495,-0.0,-0.1,-2.77
5.813226699829102,0.01,0.21,5.0
5.879289627075195,-0.0,-0.23,-7.05
5.940726280212402,-0.0,0.05,4.34
6.002810716629028,0.01,0.18,2.16
6.067349433898926,0.01,-0.01,-3.03
6.129260778427124,-0.0,-0.18,-2.68
6.1912360191345215,-0.0,0.01,3.01
6.25625467300415,-0.01,-0.12,-1.99
6.317596673965454,-0.0,0.11,3.71
6.379981279373169,0.01,0.09,-0.3
6.44452977180481,0.0,-0.01,-1.72
6.506124496459961,0.01,0.16,2.75
6.567616701126099,-0.01,-0.39,-8.66
6.629262924194336,-0.0,0.09,7.6
6.694001197814941,-0.0,0.02,-1.19
6.755965709686279,0.0,0.06,0.6
6.817044734954834,-0.01,-0.12,-2.79
6.8828089237213135,0.0,0.16,4.37
6.944513559341431,-0.0,-0.14,-4.75
7.007043123245239,0.01,0.16,4.54
7.067631244659424,0.0,-0.0,-2.54
7.13200044631958,-0.0,-0.08,-1.28
7.194228172302246,-0.0,-0.0,1.23
7.255808115005493,-0.0,0.0,0.09
7.321388483047485,-0.01,-0.14,-2.23
7.383109331130981,-0.01,0.03,2.74
7.444253921508789,-0.0,0.05,0.23
7.505961418151855,0.0,0.14,1.51
7.57141375541687,0.01,0.03,-1.73
7.633037090301514,0.01,0.01,-0.3
7.694396257400513,0.01,0.04,0.51
7.759470462799072,0.01,0.06,0.26
7.820785284042358,-0.0,-0.25,-4.9
7.8828125,0.01,0.22,7.63
7.9477880001068115,0.0,-0.17,-6.07
8.008919715881348,0.01,0.12,4.55
8.0709388256073,0.0,-0.05,-2.71
8.132472276687622,-0.02,-0.31,-4.15
8.197381019592285,0.0,0.31,9.98
8.259298324584961,-0.0,-0.11,-6.65
8.321089267730713,0.0,0.08,3.05
8.386306047439575,0.02,0.37,4.64
8.447531700134277,-0.02,-0.66,-16.65
8.509811162948608,0.01,0.49,18.32
8.574060678482056,-0.01,-0.45,-15.26
8.635910272598267,0.0,0.28,11.67
8.697512865066528,0.01,0.05,-3.68
8.762763023376465,0.01,-0.02,-1.15
8.824715375900269,0.01,0.04,0.96
8.885708332061768,-0.0,-0.21,-4.02
8.947258472442627,-0.0,0.07,4.55
9.013309240341188,0.0,0.03,-0.62
9.074859857559204,0.01,0.1,1.04
9.135686874389648,0.01,0.03,-0.98
9.200876235961914,0.0,-0.1,-2.18
9.262792825698853,-0.0,-0.1,0.07
9.324293613433838,0.01,0.14,3.83
9.385744333267212,-0.0,-0.14,-4.57
9.45171594619751,-0.01,-0.05,1.45
9.512744188308716,-0.0,0.04,1.48
9.574516534805298,0.01,0.17,1.99
9.63954782485962,0.0,-0.1,-4.41
9.701112985610962,-0.0,-0.06,0.63
9.762799978256226,-0.01,-0.04,0.45
9.828269004821776,0.01,0.16,3.15
9.889544248580933,0.01,0.01,-2.51
9.951427698135376,0.0,-0.04,-0.73
10.012498378753662,0.0,0.01,0.76
