Tempo,Acc_Y
2.0880236625671387,-0.01
2.1171178817749023,-0.07
2.1491665840148926,-0.01
2.181600570678711,-0.04
2.210221767425537,-0.05
2.243299961090088,-0.06
2.2761402130126958,-0.06
2.3046655654907227,-0.06
2.33798885345459,-0.06
2.370685338973999,-0.06
2.399397611618042,-0.05
2.4322779178619385,-0.06
2.4651427268981934,-0.07
2.493720293045044,-0.06
2.527071952819824,-0.07
2.559297800064087,-0.07
2.5878000259399414,-0.07
2.6208174228668213,-0.07
2.653578281402588,-0.04
2.681262254714966,0.03
2.714425563812256,0.0
2.7474114894866943,0.33
2.7801077365875244,0.83
2.8091275691986084,1.51
2.840996265411377,1.83
2.8745481967926025,1.56
2.903511047363281,1.49
2.9360570907592773,1.39
2.969123363494873,1.15
3.001704454421997,0.96
3.030055522918701,0.86
3.063117027282715,0.74
3.095892429351806,0.56
3.1245458126068115,0.58
3.157187938690185,0.69
3.189969778060913,0.88
3.218153715133667,1.07
3.252131938934326,1.17
3.283834218978882,1.04
3.3130524158477783,1.12
3.345378398895264,0.93
3.378304004669189,0.89
3.4112493991851807,0.71
3.439125299453736,0.08
3.472140073776245,-0.08
3.504462480545044,-0.31
3.533480644226074,-0.56
3.565507411956787,-0.54
3.599463939666748,-0.25
3.627929449081421,-0.29
3.661430597305298,-0.13
3.694021701812744,0.01
3.7226693630218506,0.18
3.755958080291748,0.29
3.78824234008789,0.21
3.820639133453369,0.29
3.8494198322296143,0.03
3.882479190826416,-0.1
3.915080547332764,-0.74
3.9438769817352295,-0.91
3.9771203994750977,-1.08
4.00922441482544,-1.19
4.03795337677002,-1.38
4.070858716964722,-1.46
4.103622674942017,-1.25
4.136109352111816,-1.41
4.1650550365448,-1.24
4.197786808013916,-0.85
4.230318307876587,-0.76
4.259195566177368,-0.29
4.292222023010254,-0.07
4.32406759262085,0.1
4.353267669677734,-0.08
4.385436534881592,-0.11
4.418027639389038,-0.23
4.451327800750732,-0.41
4.480170965194702,-0.42
4.512492895126343,-0.48
4.545104503631592,-0.37
4.574432373046875,-0.67
4.607121706008911,-0.42
4.639202117919922,-0.47
4.668588399887085,-0.57
4.701688289642334,-0.52
4.734354734420776,-0.42
4.763644456863403,-0.66
4.796360731124878,-1.11
4.828026056289673,-1.5
4.861229658126831,-1.56
4.88913631439209,-1.66
4.922667980194092,-0.58
4.9552764892578125,0.02
4.983790874481201,-0.09
5.015820026397705,-0.05
5.048979997634888,-0.05
5.078063011169434,-0.05
5.11037015914917,-0.04
5.143279314041138,-0.03
5.172420024871826,0.41
5.205322265625,-0.22
5.238024473190308,-0.28
5.27002215385437,-0.04
5.299488306045532,-0.03
5.332245826721191,-0.04
5.365139007568359,-0.03
5.393591403961182,-0.05
5.426532030105591,-0.04
5.459344625473023,-0.04
5.487641334533691,-0.04
5.520814895629883,-0.04
5.553617715835571,-0.03
5.582243919372559,-0.05
5.614807844161987,-0.04
5.647659063339233,-0.03
5.677026510238648,-0.04
5.709179162979126,-0.03
5.742037534713745,-0.04
5.770239353179932,-0.05
5.803281784057617,-0.03
5.835317611694336,-0.02
5.864428043365479,-0.04
5.896986484527588,-0.02
5.930140018463135,-0.04
5.958183288574219,-0.04
5.991984605789185,-0.04
6.02331018447876,-0.04
6.053396701812744,-0.03
6.086032390594482,-0.05
6.1180925369262695,-0.03
6.147473335266113,-0.04
6.180203437805176,0.02
6.212894678115845,0.09
6.2416768074035645,-0.12
6.274482011795044,-0.1
6.306368827819824,-0.06
6.335434436798096,-0.03
6.368041515350342,-0.02
6.401092290878296,-0.03
6.429192543029785,-0.03
6.462670803070068,-0.03
6.495553493499756,-0.04
6.5243470668792725,-0.04
6.557309627532959,-0.03
6.589775562286377,-0.13
6.618184804916382,-0.02
6.651437044143677,-0.01
6.684152126312256,0.02
6.712856769561768,-0.03
6.745640516281128,-0.03
6.778090238571167,-0.03
6.807154893875122,-0.04
6.839576721191406,-0.05
6.872292280197144,-0.04
6.901023864746094,-0.04
6.933815956115723,-0.04
6.966186761856079,-0.03
6.995263814926148,-0.04
7.0275280475616455,-0.03
7.060072422027588,-0.04
7.08945631980896,-0.04
7.121708631515503,-0.04
7.154298305511475,-0.03
7.183414936065674,-0.04
7.216022491455078,-0.04
7.248243093490601,-0.05
7.277275562286377,-0.04
7.310692071914673,-0.04
7.343290567398071,-0.03
7.372387886047363,-0.04
7.405158996582031,-0.04
7.4377601146698,-0.04
7.466406106948851,-0.03
7.499123096466064,-0.04
7.532102346420288,-0.05
7.56104040145874,-0.05
7.593353271484375,-0.04
7.625983238220215,-0.01
7.654959201812744,-0.04
7.6876397132873535,-0.02
7.720521926879883,-0.04
7.749106884002685,-0.03
7.7820093631744385,-0.04
7.814656972885132,-0.04
7.8433356285095215,-0.03
7.876083135604858,-0.02
7.908200740814209,-0.03
7.9374260902404785,-0.03
7.970352649688721,-0.04
8.003064155578613,-0.03
8.031861543655396,-0.03
8.064375400543213,-0.02
8.097264051437378,-0.04
8.126192808151245,-0.04
8.158244848251343,-0.04
8.191317319869995,-0.03
8.220146894454956,-0.03
8.253007650375366,-0.04
8.285174131393433,-0.04
8.313665390014648,-0.02
8.34725046157837,-0.03
8.379273176193237,-0.04
8.408527851104736,-0.04
8.44115686416626,-0.04
8.474157810211182,-0.03
8.502896547317505,-0.03
8.535664558410645,-0.04
8.568174839019775,-0.04
8.597188711166382,-0.03
8.629589557647705,-0.04
8.662110328674316,-0.04
8.6912260055542,-0.04
8.723881244659424,-0.04
8.757150650024414,-0.03
8.785698413848877,-0.03
8.818082094192505,-0.03
8.850693464279175,-0.04
8.879197359085083,-0.04
8.912233829498291,-0.03
8.945066928863525,-0.03
8.9739351272583,-0.04
9.005797147750854,-0.03
9.039155721664429,-0.04
9.067948341369627,-0.04
9.10070776939392,-0.04
9.133485794067385,-0.04
9.162163496017456,-0.03
9.195093870162964,-0.03
9.227250576019289,-0.04
9.256418228149414,-0.02
9.289294958114624,-0.03
9.322062492370604,-0.04
9.350582122802734,-0.04
9.383501768112184,-0.04
9.415993452072144,-0.04
9.445045948028564,-0.04
9.477582693099976,-0.04
9.509714841842651,-0.03
9.53851556777954,-0.04
9.571945190429688,-0.04
9.604636907577516,-0.03
9.63330626487732,-0.03
9.666017293930054,-0.03
9.698147773742676,-0.04
9.727653741836548,-0.03
9.760302305221558,-0.03
9.793055295944214,-0.03
9.821864366531372,-0.03
9.8536696434021,-0.03
9.88686752319336,-0.03
9.915974140167236,-0.04
9.94815754890442,-0.05
9.981410026550291,-0.03
10.010515213012695,-0.03
