Tempo,Acc_Y,Vel_Y,Dist_Y
0.000997304916381836,-0.04,-0.05,-1.51
0.000997304916381836,-0.03,0.21,4.04
0.000997304916381836,-0.05,-0.35,-9.11
0.000997304916381836,-0.02,0.48,13.36
0.0019974708557128906,-0.04,-0.3,-12.9
0.0019974708557128906,-0.03,0.09,6.43
0.0019974708557128906,-0.03,0.04,-0.94
0.0019974708557128906,-0.04,-0.05,-1.51
2.1184091567993164,-0.05,-0.12,-0.28
2.180117607116699,-0.03,0.23,5.59
2.2416326999664307,-0.04,-0.12,-5.57
2.303021192550659,-0.04,-0.04,1.38
2.364102363586426,-0.05,-0.16,-1.95
2.4261064529418945,-0.03,0.3,7.53
2.487182855606079,-0.04,-0.04,-5.42
2.5488107204437256,-0.05,-0.25,-3.49
2.6103782653808594,-0.04,0.18,7.04
2.6716620922088623,-0.04,-0.05,-3.78
2.732363224029541,-0.0,0.66,11.58
2.794870376586914,-0.06,-0.84,-24.15
2.8560686111450195,-0.09,-0.59,4.02
2.9169118404388428,-0.05,0.64,19.84
2.978976249694824,-0.07,-0.28,-15.11
3.040247917175293,-0.05,0.25,8.58
3.101186752319336,0.04,1.52,20.95
3.162813663482666,0.16,1.98,7.39
3.224118232727051,0.5,5.58,58.99
3.2855491638183594,0.92,6.81,20.11
3.347701072692871,0.78,-2.27,-146.46
3.408970832824707,0.79,0.18,40.25
3.4699513912200928,1.02,3.69,56.63
3.532147169113159,0.64,-6.17,-161.67
3.593141555786133,0.45,-2.99,51.31
3.6549336910247803,0.74,4.63,124.92
3.7164306640625,0.86,2.08,-41.92
3.777559995651245,0.99,2.06,-0.2
3.8389039039611816,1.03,0.54,-24.95
3.900298833847046,1.1,1.12,9.3
3.962629556655884,0.8,-4.88,-98.4
4.023627758026123,0.38,-6.77,-30.34
4.084800481796265,0.28,-1.64,84.08
4.14564323425293,0.03,-3.97,-37.63
4.207833766937256,-0.21,-4.02,-0.87
4.2688820362091064,-0.5,-4.74,-11.68
