Tempo,Acc_Y,Velocidade,Distancia
0.0,-0.01,0.0,0.0
0.0,-0.02,0.0,0.0
0.0010027885437011,-0.02,-2.0055770874022002e-05,-2.0111697267563462e-08
0.0010027885437011,-0.02,-2.0055770874022002e-05,-2.0111697267563462e-08
2.061885595321656,-0.03,-0.06184653997421267,-0.12745849100325768
2.0657129287719727,-0.03,-0.06196135997772216,-0.1276956377889275
2.07049822807312,-0.03,-0.062104918956756586,-0.1279928284142091
2.0738229751586914,-0.02,-0.06217141389846801,-0.12819953264137388
2.077613115310669,-0.03,-0.06228511810302734,-0.1284356019683668
2.081815719604492,-0.03,-0.062411196231842034,-0.1286978915296334
2.085921287536621,-0.03,-0.0625343632698059,-0.12895463060613002
2.0901575088500977,-0.03,-0.06266144990921019,-0.12922007837576877
2.0943403244018555,-0.02,-0.06274510622024534,-0.12948252958186351
2.0987701416015625,-0.02,-0.06283370256423948,-0.12976087139820386
2.102743864059448,-0.01,0.0,0.0
2.110901355743408,-0.01,0.0,0.0
2.115198135375977,0.0,0.0,0.0
2.118925094604492,-0.01,0.0,0.0
2.1233129501342773,-0.02,-8.775711059570312e-05,-3.8506552300532345e-07
2.126937866210937,-0.02,-0.00016025543212889738,-9.65978015301413e-07
2.1311519145965576,-0.02,-0.0002445363998413086,-1.996466236278144e-06
2.135359287261963,-0.04,-0.0004128313064575195,-3.7334013904910587e-06
2.13944149017334,-0.03,-0.0005352973937988281,-5.918593969909131e-06
2.1433703899383545,-0.03,-0.0006531643867492675,-8.484811375524265e-06
2.1474697589874268,-0.01,0.0,0.0
2.151893854141236,-0.0,0.0,0.0
2.156008720397949,-0.02,-8.229732513426847e-05,-3.386424862127748e-07
2.1602070331573486,-0.02,-0.00016626358032225676,-1.0366689969031348e-06
2.1679978370666504,-0.04,-0.00047789573669432706,-4.759860970579942e-06
2.172180414199829,-0.04,-0.0006451988220214754,-7.458454809920806e-06
2.176319599151612,-0.03,-0.0007693743705749689,-1.0643037626892322e-05
2.1803653240203857,-0.02,-0.0008502888679504394,-1.4083072445600704e-05
2.184422492980957,-0.04,-0.001012575626373291,-1.8191262847153452e-05
2.188332319259644,-0.03,-0.0011298704147339,-2.2608859886190997e-05
2.192986488342285,-0.02,-0.0012229537963867232,-2.8300693634832714e-05
2.196432113647461,-0.01,0.0,0.0
2.2007298469543457,-0.01,0.0,0.0
2.204540014266968,-0.02,-7.620334625245028e-05,-2.9034749900354143e-07
2.2092363834381104,-0.0,0.0,0.0
2.213292360305786,0.0,0.0,0.0
2.2170801162719727,-0.01,0.0,0.0
2.2211976051330566,-0.01,0.0,0.0
2.2253224849700928,-0.0,0.0,0.0
2.232492208480835,0.01,0.0,0.0
2.236889600753784,0.01,0.0,0.0
2.2414677143096924,0.03,0.00013734340667724608,6.287737119237135e-07
2.245635986328125,0.08,0.0004708051681518555,2.591217720464556e-06
2.249748468399048,0.08,0.0007998037338256836,5.880396236079832e-06
2.2538375854492188,0.1,0.0012087154388427735,1.0822975145856617e-05
2.258268356323242,0.06,0.0014745616912841797,1.7356420139549298e-05
2.2622973918914795,0.02,0.0015551424026489257,2.362214419349584e-05
2.265752077102661,-0.05,0.0013824081420898437,2.8397929157790712e-05
2.2708098888397217,-0.1,0.000876626968383789,3.2831743327506045e-05
2.2752439975738525,-0.13,0.0003001928329467772,3.4162830989998834e-05
2.2788403034210205,-0.13,-0.00016732692718505874,3.356107218337456e-05
2.286388397216797,-0.06,-0.0006202125549316408,2.8879649645432432e-05
2.290766954421997,-0.04,-0.0007953548431396486,2.5397142966312455e-05
2.2952630519866943,-0.02,-0.0008852767944335938,2.141685212677657e-05
2.299401044845581,-0.03,-0.0010094165802001954,1.723989352626631e-05
2.3036587238311768,-0.02,-0.0010945701599121094,1.2579565158148392e-05
2.3072667121887207,-0.02,-0.0011667299270629883,8.370017164907035e-06
2.311260461807251,-0.02,-0.0012466049194335936,3.391389243461158e-06
2.31528115272522,-0.01,0.0,0.0
2.3193602561950684,-0.01,0.0,0.0
2.323444128036499,-0.02,-8.167743682861328e-05,-3.335601843446056e-07
2.32712984085083,-0.03,-0.0001922488212585449,-1.042134128397265e-06
2.33147406578064,-0.03,-0.0003225755691528453,-2.44347495765871e-06
2.3358545303344727,-0.03,-0.00045398950576782223,-4.432159895486619e-06
2.340122699737549,-0.03,-0.0005820345878601073,-6.916382114923179e-06
2.3440287113189697,-0.03,-0.0006992149353027342,-9.647523750118122e-06
2.3482890129089355,-0.01,0.0,0.0
2.3560268878936768,-0.0,0.0,0.0
2.3604519367218018,0.0,0.0,0.0
2.364750623703003,0.0,0.0,0.0
2.3687973022460938,-0.0,0.0,0.0
2.372795820236206,-0.01,0.0,0.0
2.3768177032470703,-0.01,0.0,0.0
2.380857229232788,-0.0,0.0,0.0
2.385321855545044,-0.0,0.0,0.0
2.3892509937286377,-0.03,-0.0001178741455078125,-4.631438059732318e-07
2.39328670501709,-0.03,-0.00023894548416137696,-1.427458793727965e-06
2.39734411239624,-0.03,-0.00036066770553587534,-2.8908346035903055e-06
2.401560544967652,-0.02,-0.00044499635696411573,-4.767131737253493e-06
2.405510187149048,-0.04,-0.0006029820442199573,-7.148695053729049e-06
2.409601211547852,-0.04,-0.0007666230201721234,-1.0284968533938136e-05
2.413602590560913,-0.04,-0.0009266781806945666,-1.3992959158030999e-05
2.421994924545288,-0.02,-0.0010945248603820667,-2.317857734055872e-05
2.42564344406128,-0.01,0.0,0.0
2.4301373958587646,-0.01,0.0,0.0
2.4340028762817383,-0.01,0.0,0.0
